1.1,Codigo Tarea,Actividad,Precedencia,Duración,Fecha Inicio,Fecha Fin
1.1.1,A1,Reunión de inicio de proyecto,,1,1/16/2021,1/17/2021
1.1.2,A2,"Reunión de presentación del proyecto, objetivos y el equipo de desarrollo",,1,1/16/2021,01/17/21
1.2.1,B1,Identificación de Necesidades de Almacenamiento,1.1.2,2,1/17/2021,1/19/2021
1.2.2,B2,"Identificación de Necesidades de Cómputo: RAM, #CPUs, #GPUs",1.1.2,2,1/17/2021,1/19/2021
1.2.3,B3,Análisis Costo Beneficio de Frameworks de Web Apps basados en Python,"1.2.1, 1.2.2",3,1/19/2021,1/22/2021
1.2.4,B4,Análisis Costo Beneficio de Frameworks de Web Apps basados en JavaScript,1.2.3,3,1/22/2021,1/25/2021
1.2.5,B5,Análisis Costo Beneficio de Frameworks de Web Apps basados en PHP,1.2.4,3,1/25/2021,1/28/2021
1.2.6,B6,"Dimensionamiento de requisitos de la Base de datos de: Clientes, Productos, Servicios, Vendedores",1.2.5,5,1/28/2021,2/2/2021
1.2.7 ,B7,Diseño de Base de Datos,1.2.6,20,2/2/2021,2/22/2021
1.3.1,C1,"Diseño de Funcionalidades de Front End: ventanas, menús principales, navegación y funciones",1.2.7,5,2/22/2021,2/27/2021
1.3.2,C2,Programación de Front End,1.3.1,30,2/27/2021,3/29/2021
1.3.3,C3,Implementación de Base de Datos,1.2.7,45,2/22/2021,4/8/2021
1.3.4,C4,Levantamiento de conexión a Base de Datos,1.3.3,5,4/8/2021,4/13/2021
1.3.5,C5,Configuraciones de Servidor en la Nube,1.3.4,8,4/13/2021,4/21/2021
1.3.6,C6,Programación de Funciones de Navegación,1.3.1,15,3/29/2021,4/13/2021
1.3.7,C7,Programación de Funciones de Ingresar Productos y Servicios,1.3.1,15,3/29/2021,4/13/2021
1.3.8,C8,Programación de Funciones de Actualización de Base de Datos,1.3.5,15,4/21/2021,5/6/2021
1.3.9,C9,Programación de Funciones de Generación de PDF y email,"1.3.7, 1.3.8",20,5/6/2021,5/26/2021
1.4.1,D1,Testeo de funcionalidades de Navegación,1.3.6,5,4/13/2021,4/18/2021
1.4.2,D2,Testeo de funcionalidades de Oferta,1.3.7,5,4/13/2021,4/18/2021
1.4.3,D3,Testeo de funcionalidades de generación PDF,1.3.9,5,5/26/2021,5/31/2021
1.4.4,D4,Testeo de funcionalidades de envío de email,"1.4.3, 1.3.6",5,5/31/2021,6/5/2021
2.1.1,E1,Generación de archivos json para recopilación de datos,1.4.4,8,6/5/2021,6/13/2021
2.1.2,E2,Generación de Script para recopilación de datos,2.1.1,10,6/13/2021,6/23/2021
2.1.3,E3,Ejecución de Script para Almacenamiento de Datos,2.1.2,8,6/23/2021,7/1/2021
2.2.1,F1,Desarrollo de Script par Procesamiento y Depuración de Datos capturados,2.1.3,20,7/1/2021,7/21/2021
2.2.2,F2,"Ejecución de Script para Procesamiento de Datos: elmiminación de outliers, tratamiento de datos incompletos, formatos de datos y generación de estructura de datos tipo tensor",2.2.1,8,7/21/2021,7/29/2021
2.3.1,G1,Reunión de Determinación de Requisitos de funcionamiento de la IA,1.4,1,6/5/2021,6/6/2021
2.3.2,G2,"Evaluación de Frameworks de desarrollo de Machine Learning: Pytorch, Tensorflow, Keras",2.3.1,5,6/6/2021,6/11/2021
2.3.3,G3,"Diseño Funcional del modelo de IA: definición de entradas, técnica de modelamiento para vector característico, salidas del modelo",2.3.2,10,6/11/2021,6/21/2021
2.4.1,H1,Desarrollo de Scripts de Machine Learning,2.3.3,60,6/21/2021,8/20/2021
2.4.2,H2,Entrenamiento y Validación de Modelo,2.4.1,20,8/20/2021,9/9/2021
2.5.1,I1,Pruebas de Predicción Piloto de Motor de IA,2.4.2,5,9/9/2021,9/14/2021
2.5.2,I2,Pruebas funcionales y medición de resultados en ventas,2.5.1,5,9/14/2021,9/19/2021
3.1.1,J1,Ejecución de Script para Almacenamiento de Datos,2.5.2,20,9/19/2021,10/9/2021
3.2.1,K1,"Ejecución de Script para Procesamiento de Datos: elmiminación de outliers, tratamiento de datos incompletos, formatos de datos y generación de estructura de datos tipo tensor",3.1.1,30,10/9/2021,11/8/2021
3.3.1,L1,Diseño de Script para aprendizaje reiterativo y re-entrenamiento,2.5.2,60,9/19/2021,11/18/2021
3.3.2,L2,Ejecución de Entrenamiento de IA,3.3.1,30,11/18/2021,12/18/2021
3.3.3,L3,Validación de Modelo,3.3.2,20,12/18/2021,1/7/2022
3.4.1,M1,Pruebas de Predicción Piloto de Motor de IA,3.3.3,5,1/7/2022,1/12/2022
3.4.2,M2,Pruebas funcionales y medición de resultados en ventas,3.4.1,5,1/12/2022,1/17/2022
3.5.1,N1,Implementación de la integración Full Stack,3.4.2,40,1/17/2022,2/26/2022
3.5.2,N2,Pruebas funcionales y medición de resultados en ventas,3.5.1,5,2/26/2022,3/3/2022
